Total time, 2861.31s, 100.00%
	,Train time, 2738.20s, 95.70%
	,	,Evaluation time, 2736.08s, 99.92%
	,	,Ask time, 1.45s, 0.05%
	,	,Tell time, 0.67s, 0.02%
	,Test time, 122.97s, 4.30%
	,Logging time, 0.13s, 0.00%
	,Writing time, 0.00s, 0.00%
Iter:0, train:46.88s, eval:99%, ask:1%, tell:1%
Iter:1, train:28.33s, eval:100%, ask:0%, tell:0%
Iter:2, train:28.38s, eval:100%, ask:0%, tell:0%
Iter:3, train:28.33s, eval:100%, ask:0%, tell:0%
Iter:4, train:28.20s, eval:100%, ask:0%, tell:0%
Iter:5, train:28.56s, eval:100%, ask:0%, tell:0%
Iter:6, train:28.54s, eval:100%, ask:0%, tell:0%
Iter:7, train:28.22s, eval:100%, ask:0%, tell:0%
Iter:8, train:28.60s, eval:100%, ask:0%, tell:0%
Iter:9, train:28.22s, eval:100%, ask:0%, tell:0%
Iter:10, train:28.32s, eval:100%, ask:0%, tell:0%
Iter:11, train:28.41s, eval:100%, ask:0%, tell:0%
Iter:12, train:28.31s, eval:100%, ask:0%, tell:0%
Iter:13, train:28.44s, eval:100%, ask:0%, tell:0%
Iter:14, train:28.28s, eval:100%, ask:0%, tell:0%
Iter:15, train:28.12s, eval:100%, ask:0%, tell:0%
Iter:16, train:28.41s, eval:100%, ask:0%, tell:0%
Iter:17, train:28.46s, eval:100%, ask:0%, tell:0%
Iter:18, train:28.21s, eval:100%, ask:0%, tell:0%
Iter:19, train:28.47s, eval:100%, ask:0%, tell:0%
Iter:20, train:28.20s, eval:100%, ask:0%, tell:0%
Iter:21, train:27.94s, eval:100%, ask:0%, tell:0%
Iter:22, train:28.26s, eval:100%, ask:0%, tell:0%
Iter:23, train:28.28s, eval:100%, ask:0%, tell:0%
Iter:24, train:28.11s, eval:100%, ask:0%, tell:0%
Iter:25, train:28.17s, eval:100%, ask:0%, tell:0%
Iter:26, train:28.36s, eval:100%, ask:0%, tell:0%
Iter:27, train:27.98s, eval:100%, ask:0%, tell:0%
Iter:28, train:27.85s, eval:100%, ask:0%, tell:0%
Iter:29, train:28.18s, eval:100%, ask:0%, tell:0%
Iter:30, train:28.19s, eval:100%, ask:0%, tell:0%
Iter:31, train:27.88s, eval:100%, ask:0%, tell:0%
Iter:32, train:28.12s, eval:100%, ask:0%, tell:0%
Iter:33, train:28.16s, eval:100%, ask:0%, tell:0%
Iter:34, train:27.92s, eval:100%, ask:0%, tell:0%
Iter:35, train:28.21s, eval:100%, ask:0%, tell:0%
Iter:36, train:28.26s, eval:100%, ask:0%, tell:0%
Iter:37, train:28.37s, eval:100%, ask:0%, tell:0%
Iter:38, train:28.34s, eval:100%, ask:0%, tell:0%
Iter:39, train:28.12s, eval:100%, ask:0%, tell:0%
Iter:40, train:27.91s, eval:100%, ask:0%, tell:0%
Iter:41, train:28.27s, eval:100%, ask:0%, tell:0%
Iter:42, train:28.18s, eval:100%, ask:0%, tell:0%
Iter:43, train:28.23s, eval:100%, ask:0%, tell:0%
Iter:44, train:28.19s, eval:100%, ask:0%, tell:0%
Iter:45, train:27.92s, eval:100%, ask:0%, tell:0%
Iter:46, train:27.88s, eval:100%, ask:0%, tell:0%
Iter:47, train:28.30s, eval:100%, ask:0%, tell:0%
Iter:48, train:28.27s, eval:100%, ask:0%, tell:0%
Iter:49, train:27.90s, eval:100%, ask:0%, tell:0%
Iter:50, train:27.98s, eval:100%, ask:0%, tell:0%
Iter:51, train:27.80s, eval:100%, ask:0%, tell:0%
Iter:52, train:28.37s, eval:100%, ask:0%, tell:0%
Iter:53, train:28.13s, eval:100%, ask:0%, tell:0%
Iter:54, train:27.88s, eval:100%, ask:0%, tell:0%
Iter:55, train:27.96s, eval:100%, ask:0%, tell:0%
Iter:56, train:28.02s, eval:100%, ask:0%, tell:0%
Iter:57, train:28.24s, eval:100%, ask:0%, tell:0%
Iter:58, train:27.75s, eval:100%, ask:0%, tell:0%
Iter:59, train:27.53s, eval:100%, ask:0%, tell:0%
Iter:60, train:27.79s, eval:100%, ask:0%, tell:0%
Iter:61, train:27.79s, eval:100%, ask:0%, tell:0%
Iter:62, train:27.32s, eval:100%, ask:0%, tell:0%
Iter:63, train:27.17s, eval:100%, ask:0%, tell:0%
Iter:64, train:27.14s, eval:100%, ask:0%, tell:0%
Iter:65, train:27.30s, eval:100%, ask:0%, tell:0%
Iter:66, train:27.28s, eval:100%, ask:0%, tell:0%
Iter:67, train:27.06s, eval:100%, ask:0%, tell:0%
Iter:68, train:26.81s, eval:100%, ask:0%, tell:0%
Iter:69, train:26.89s, eval:100%, ask:0%, tell:0%
Iter:70, train:27.15s, eval:100%, ask:0%, tell:0%
Iter:71, train:26.93s, eval:100%, ask:0%, tell:0%
Iter:72, train:26.72s, eval:100%, ask:0%, tell:0%
Iter:73, train:26.40s, eval:100%, ask:0%, tell:0%
Iter:74, train:26.05s, eval:100%, ask:0%, tell:0%
Iter:75, train:25.93s, eval:100%, ask:0%, tell:0%
Iter:76, train:25.72s, eval:100%, ask:0%, tell:0%
Iter:77, train:25.90s, eval:100%, ask:0%, tell:0%
Iter:78, train:25.62s, eval:100%, ask:0%, tell:0%
Iter:79, train:25.08s, eval:100%, ask:0%, tell:0%
Iter:80, train:25.83s, eval:100%, ask:0%, tell:0%
Iter:81, train:25.31s, eval:100%, ask:0%, tell:0%
Iter:82, train:24.85s, eval:100%, ask:0%, tell:0%
Iter:83, train:24.73s, eval:100%, ask:0%, tell:0%
Iter:84, train:25.26s, eval:100%, ask:0%, tell:0%
Iter:85, train:25.01s, eval:100%, ask:0%, tell:0%
Iter:86, train:24.91s, eval:100%, ask:0%, tell:0%
Iter:87, train:25.01s, eval:100%, ask:0%, tell:0%
Iter:88, train:24.72s, eval:100%, ask:0%, tell:0%
Iter:89, train:24.54s, eval:100%, ask:0%, tell:0%
Iter:90, train:24.84s, eval:100%, ask:0%, tell:0%
Iter:91, train:24.45s, eval:100%, ask:0%, tell:0%
Iter:92, train:24.31s, eval:100%, ask:0%, tell:0%
Iter:93, train:24.61s, eval:100%, ask:0%, tell:0%
Iter:94, train:24.50s, eval:100%, ask:0%, tell:0%
Iter:95, train:24.66s, eval:100%, ask:0%, tell:0%
Iter:96, train:24.61s, eval:100%, ask:0%, tell:0%
Iter:97, train:24.24s, eval:100%, ask:0%, tell:0%
Iter:98, train:24.12s, eval:100%, ask:0%, tell:0%
Iter:99, train:24.35s, eval:100%, ask:0%, tell:0%
Iter:25, test:44.86s
Iter:50, test:27.77s
Iter:75, test:26.06s
Iter:99, test:24.28s
Iter:0, logging:0.10s
